Label,Event type,Event Fraction,3h,2h,1h,0h,Higgs
3h,Nj=6,0.21047046338875133,0.46050420168067224,0.0,0.39439775910364144,0.1450980392156863,0.5919701213818861
3h,Nj=7,0.3182407734936918,0.37013708781030014,0.028158577250833643,0.4012597258243794,0.20044460911448686,0.5226627145856491
3h,Nj>=8,0.4712887631175569,0.2616962722041531,0.05704278208656492,0.4213159869902427,0.2599449587190393,0.4401634559252773
3h,Total,1.0,0.3380497582832213,0.035844829619148685,0.4092677750265299,0.2168376370711001,0.4983689030381637
