Label,Event type,Event Fraction,3h,2h,1h,0h,Higgs
3h,Nj=6,0.21047046338875133,0.5030812324929972,0.0,0.3535014005602241,0.1434173669467787,0.6209150326797386
3h,Nj=7,0.3182407734936918,0.42978881067061875,0.02667654686921082,0.3679140422378659,0.17562060022230455,0.5702111893293813
3h,Nj>=8,0.4712887631175569,0.3062296722541906,0.05579184388291218,0.37578183637728296,0.2621966474856142,0.4686848469685598
3h,Total,1.0,0.38698266713830914,0.03478363400542389,0.36858860983374603,0.20964508902252094,0.5330346264198405
