Label,Event type,Event Fraction,3h,2h,1h,0h,Higgs
3h,Nj=6,0.23894422310756971,0.43809920800333474,0.0,0.3776573572321801,0.1842434347644852,0.5639849937473947
3h,Nj=7,0.33844621513944223,0.2371983519717481,0.07710417892878163,0.3967039434961742,0.28899352560329605,0.42083578575632724
3h,Nj>=8,0.422609561752988,0.14070233325477258,0.09992929530992223,0.3898185246288004,0.3695498468065048,0.3372613716709875
3h,Total,1.0,0.2444223107569721,0.06832669322709163,0.3892430278884462,0.29800796812749003,0.41972111553784863
