Label,Event type,Event Fraction,3h,2h,1h,0h,Higgs
3h,Nj=6,0.23894422310756971,0.49312213422259277,0.0,0.3618174239266361,0.14506044185077116,0.6137279421981381
3h,Nj=7,0.33844621513944223,0.27192466156562684,0.08563861094761624,0.3946439081812831,0.2477928193054738,0.4605650382577987
3h,Nj>=8,0.422609561752988,0.1548432712703276,0.1086495404195145,0.3893471600282819,0.34716002828187603,0.35705868489276454
3h,Total,1.0,0.2752988047808765,0.0749003984063745,0.3845617529880478,0.2652390438247012,0.45341965471447543
