Label,Event type,Event Fraction,3h,2h,1h,0h,Higgs
3h,Nj=6,0.17746913580246915,0.45016722408026755,0.0,0.3979933110367893,0.15183946488294314,0.5828316610925307
3h,Nj=7,0.3004510921177588,0.375345713156855,0.036744369814302645,0.3844330304227578,0.20347688660608454,0.527986303173976
3h,Nj>=8,0.5220797720797721,0.2348794906775807,0.07253296953160528,0.3954070031832651,0.2971805366075489,0.41503713809307263
3h,Total,1.0,0.315289648622982,0.048907882241215575,0.39256885090218424,0.24323361823361822,0.4787511870845204
