Label,Event type,Event Fraction,3h,2h,1h,0h,Higgs
3h,Nj=6,0.17746913580246915,0.4394648829431438,0.0,0.36722408026755854,0.19331103678929765,0.5618729096989966
3h,Nj=7,0.3004510921177588,0.36270248913472936,0.022915843540102725,0.3709996048992493,0.24338206242591862,0.5016462531278809
3h,Nj>=8,0.5220797720797721,0.2328331059572533,0.05252387448840382,0.3703956343792633,0.3442473851750796,0.39131423374261026
3h,Total,1.0,0.3085232668566002,0.03430674264007597,0.370014245014245,0.2871557454890788,0.4547325102880658
