Label,Event type,Event Fraction,3h,2h,1h,0h,Higgs
3h,Nj=6,0.17957798435886085,0.456861133935908,0.0,0.4009860312243221,0.14215283483976993,0.5905231443440153
3h,Nj=7,0.3047070975357828,0.3869249394673123,0.030508474576271188,0.38305084745762713,0.19951573849878934,0.5349475383373689
3h,Nj>=8,0.5157149181053563,0.2506437768240343,0.06523605150214593,0.40858369098712444,0.2755364806866953,0.4303290414878398
3h,Total,1.0,0.3292017116718312,0.04293935369632581,0.39943927991736755,0.22841965471447542,0.49097437410850425
