Label,Event type,Event Fraction,3h,2h,1h,0h,Higgs
3h,Nj=6,0.20649273643640675,0.5061019382627423,0.0,0.36324479540559945,0.1306532663316583,0.6271835367312755
3h,Nj=7,0.3241921138452416,0.4124371284865112,0.026977594878829447,0.3946044810242341,0.16598079561042525,0.5619570187471422
3h,Nj>=8,0.46931514971835164,0.3215413771320278,0.053063802905874924,0.37965887555274797,0.24573594440934934,0.48347020425352705
3h,Total,1.0,0.3891194782093092,0.033649570115624076,0.38111473465757484,0.19611621701749185,0.5385907698389168
