Label,Event type,Event Fraction,3h,2h,1h,0h,Higgs
3h,Nj=6,0.20649273643640675,0.41277817659727206,0.0,0.42282842785355346,0.16439339554917445,0.5537209858817899
3h,Nj=7,0.3241921138452416,0.31504343850022865,0.02606310013717421,0.4325560128029264,0.22633744855967078,0.47660417619265355
3h,Nj>=8,0.46931514971835164,0.23089071383449147,0.059065066329753634,0.4330385344283007,0.2770056854074542,0.4146136028637608
3h,Total,1.0,0.295730803439075,0.03616958197450341,0.43077379187666764,0.23732582270975394,0.46343512204763315
