Label,Event type,Event Fraction,3h,2h,1h,0h,Higgs
3h,Nj=6,0.2203310795057123,0.5275132275132275,0.0,0.35555555555555557,0.11693121693121693,0.6460317460317461
3h,Nj=7,0.31440895313592915,0.43047830923248054,0.029662588060808306,0.36336670374490176,0.1764923989618094,0.57137560252132
3h,Nj>=8,0.4652599673583586,0.3237283888749687,0.05687797544475069,0.3643197193685793,0.25507391631170134,0.48308694562766225
3h,Total,1.0,0.40219165306598276,0.035789228258335276,0.3620890650501282,0.19993005362555374,0.546747493588249
