Label,Event type,Event Fraction,3h,2h,1h,0h,Higgs
3h,Nj=6,0.16262207753773306,0.41310282074613286,0.0,0.37579617834394907,0.2111010009099181,0.5383682135274492
3h,Nj=7,0.3020124297129328,0.2905438510534052,0.027437530622243998,0.4012738853503185,0.28074473297403235,0.4425934999183407
3h,Nj>=8,0.5353654927493341,0.1932006633499171,0.04145936981757877,0.4021558872305141,0.36318407960199006,0.3548922056384743
3h,Total,1.0,0.2583604616750518,0.030482391240011838,0.3976028410772418,0.31355430600769457,0.4112163361941403
