Label,Event type,Event Fraction,3h,2h,1h,0h,Higgs
3h,Nj=6,0.16262207753773306,0.4940855323020928,0.0,0.33848953594176523,0.16742493175614195,0.6069153776160146
3h,Nj=7,0.3020124297129328,0.3493385595296423,0.03184713375796178,0.3708966193042626,0.24791768740813327,0.4942021884697044
3h,Nj>=8,0.5353654927493341,0.23493642896627973,0.05113322277501382,0.39994472084024324,0.31398562741846325,0.40234015109637
3h,Total,1.0,0.31163065995856765,0.03699319325244155,0.3811778632731577,0.2701982835158331,0.4633520765512479
