Label,Event type,Event Fraction,3h,2h,1h,0h,Higgs
3h,Nj=6,0.16430171769977595,0.5009090909090909,0.0,0.35909090909090907,0.14,0.6206060606060606
3h,Nj=7,0.29185959671396566,0.4048106448311157,0.03940634595701126,0.3638689866939611,0.19191402251791198,0.5523712043671102
3h,Nj>=8,0.5438386855862584,0.27327657237022795,0.06619060697610546,0.38286185113979676,0.2776709695138698,0.4450242607342305
3h,Total,1.0,0.34906646751306947,0.04749813293502614,0.37341299477221807,0.23002240477968633,0.5052028877271596
