Label,Event type,Event Fraction,3h,2h,1h,0h,Higgs
3h,Nj=6,0.1788715486194478,0.5234899328859061,0.0,0.32802013422818793,0.14848993288590603,0.6328299776286354
3h,Nj=7,0.30612244897959184,0.3975490196078431,0.03627450980392157,0.3818627450980392,0.1843137254901961,0.5490196078431373
3h,Nj>=8,0.5150060024009604,0.2835081585081585,0.06934731934731934,0.3930652680652681,0.2540792540792541,0.46076146076146074
3h,Total,1.0,0.36134453781512604,0.0468187274909964,0.3780012004801921,0.21383553421368548,0.5185574229691877
