Label,Event type,Event Fraction,3h,2h,1h,0h,Higgs
3h,Nj=6,0.1762440758293839,0.37563025210084033,0.0,0.40756302521008403,0.21680672268907564,0.511484593837535
3h,Nj=7,0.3006516587677725,0.28620689655172415,0.017733990147783252,0.40788177339901477,0.2881773399014778,0.43399014778325123
3h,Nj>=8,0.5231042654028436,0.19394110985277463,0.04756511891279728,0.40855039637599094,0.34994337485843713,0.36183465458663644
3h,Total,1.0,0.2537026066350711,0.030213270142180094,0.408175355450237,0.30790876777251186,0.4099032385466035
