Label,Event type,Event Fraction,3h,2h,1h,0h,Higgs
3h,Nj=6,0.1762440758293839,0.37815126050420167,0.0,0.42016806722689076,0.20168067226890757,0.5182072829131653
3h,Nj=7,0.3006516587677725,0.3192118226600985,0.027586206896551724,0.41083743842364534,0.24236453201970443,0.4745484400656814
3h,Nj>=8,0.5231042654028436,0.22366930917327293,0.05804077010192525,0.40175537938844846,0.31653454133635334,0.39628161570403925
3h,Total,1.0,0.2796208530805687,0.03865521327014218,0.40773104265402843,0.27399289099526064,0.44130134281200634
