Cuts,counts,efficiency,passing rate
total,10000,1.0,1.0
>= 6 jets,6081,0.6081,0.6081
>= 4 jets with pT > 40 GeV,4986,0.8199309324124322,0.4986
>= 4 b-jets,3203,0.6423987164059366,0.3203
3 Higgs,1018,0.31782703715266936,0.1018
2 Higgs,1102,0.34405245082734937,0.1102
1 Higgs,860,0.2684982828598189,0.086
>= 6 b-jets,403,0.12581954417733374,0.0403
