Cuts,counts,efficiency,passing rate
total,10000,1.0,1.0
>= 6 jets,6832,0.6832,0.6832
>= 4 jets with pT > 40 GeV,6184,0.905152224824356,0.6184
>= 4 b-jets,4075,0.6589586028460543,0.4075
3 Higgs,1297,0.31828220858895706,0.1297
2 Higgs,1556,0.381840490797546,0.1556
1 Higgs,1011,0.24809815950920244,0.1011
>= 6 b-jets,572,0.1403680981595092,0.0572
