Cuts,counts,efficiency,passing rate
total,10000,1.0,1.0
>= 6 jets,6731,0.6731,0.6731
>= 4 jets with pT > 40 GeV,5982,0.8887238151834794,0.5982
>= 4 b-jets,3992,0.6673353393513874,0.3992
3 Higgs,1237,0.3098697394789579,0.1237
2 Higgs,1539,0.3855210420841683,0.1539
1 Higgs,1000,0.250501002004008,0.1
>= 6 b-jets,535,0.1340180360721443,0.0535
