Cuts,counts,efficiency,passing rate
total,10000,1.0,1.0
>= 6 jets,6749,0.6749,0.6749
>= 4 jets with pT > 40 GeV,6000,0.8890205956437991,0.6
>= 4 b-jets,3967,0.6611666666666667,0.3967
3 Higgs,1265,0.3188807663221578,0.1265
2 Higgs,1415,0.3566927148979077,0.1415
1 Higgs,1050,0.2646836400302496,0.105
>= 6 b-jets,529,0.13335013864381146,0.0529
