Label,Event type,Event Fraction,3h,2h,1h,0h,Higgs
3h,Nj=6,0.1567342073897497,0.417490494296578,0.0,0.3840304182509506,0.19847908745247148,0.5455006337135615
3h,Nj=7,0.3102502979737783,0.29773338455628123,0.02266615443718786,0.4045332308874376,0.27506723011909334,0.44768856447688565
3h,Nj>=8,0.533015494636472,0.19588550983899822,0.042710196779964224,0.4029516994633274,0.35845259391771017,0.35867620751341683
3h,Total,1.0,0.2622169249106079,0.029797377830750895,0.40047675804529204,0.3075089392133492,0.4155740961462058
