Label,Event type,Event Fraction,3h,2h,1h,0h,Higgs
3h,Nj=6,0.1602489303772851,0.36326860841423947,0.0,0.40372168284789645,0.23300970873786409,0.49784250269687164
3h,Nj=7,0.2887333074030857,0.28783116299955097,0.03412662775033678,0.3933542882801976,0.2846879209699147,0.44170034425984134
3h,Nj>=8,0.5510177622196292,0.18094117647058824,0.05482352941176471,0.38776470588235296,0.3764705882352941,0.34674509803921566
3h,Total,1.0,0.24102165175677429,0.040062232594321276,0.391935692985868,0.32698042266303645,0.3983750378149445
