Label,Event type,Event Fraction,3h,2h,1h,0h,Higgs
3h,Nj=6,0.17378321887130488,0.38831615120274915,0.001718213058419244,0.390893470790378,0.2190721649484536,0.5197594501718213
3h,Nj=7,0.31128695132875484,0.3184652278177458,0.022541966426858514,0.3880095923261391,0.2709832134292566,0.4628297362110312
3h,Nj>=8,0.5149298297999403,0.2087561612061467,0.048999710060887214,0.4015656712090461,0.34067845752391995,0.37527785831642024
3h,Total,1.0,0.27411167512690354,0.03254702896386981,0.39549119140041805,0.2978501045088086,0.4276400915696228
