Label,Event type,Event Fraction,3h,2h,1h,0h,Higgs
3h,Nj=6,0.17378321887130488,0.38230240549828176,0.0,0.4338487972508591,0.18384879725085912,0.5269186712485682
3h,Nj=7,0.31128695132875484,0.29160671462829735,0.025899280575539568,0.42973621103117504,0.252757793764988,0.45211830535571546
3h,Nj>=8,0.5149298297999403,0.20353725717599305,0.0585677007828356,0.402435488547405,0.3354595534937663,0.3767275538803518
3h,Total,1.0,0.2620185129889519,0.03822036428784712,0.4163929531203344,0.28336816960286654,0.42629640688762815
