Label,Event type,Event Fraction,3h,2h,1h,0h,Higgs
3h,Nj=6,0.1764913935392596,0.46693386773547096,0.0,0.3593854375417502,0.1736806947227789,0.586729013582721
3h,Nj=7,0.29792501768450835,0.34784329244163037,0.027305104867431738,0.3957261574990107,0.22912544519192718,0.4979554148529218
3h,Nj>=8,0.525583588776232,0.2420367877972185,0.056078959174517724,0.4066846119336025,0.2951996410946613,0.41498429789143115
3h,Total,1.0,0.3132515916057534,0.03760905446828578,0.3950719170007074,0.25406743692525346,0.47001493358484636
