Label,Event type,Event Fraction,3h,2h,1h,0h,Higgs
3h,Nj=6,0.1764913935392596,0.46092184368737477,0.0,0.331997327989312,0.2070808283233133,0.5715876196838121
3h,Nj=7,0.29792501768450835,0.3616937079540958,0.025722200237435693,0.37593984962406013,0.23664424218440838,0.5041551246537396
3h,Nj>=8,0.525583588776232,0.23530731269627636,0.049349484073575596,0.38716913414087034,0.3281740690892777,0.39726334679228353
3h,Total,1.0,0.3127800047158689,0.03360056590426786,0.37408630040084884,0.2795331289790144,0.4598758154523304
