Label,Event type,Event Fraction,3h,2h,1h,0h,Higgs
3h,Nj=6,0.1764913935392596,0.4141616566466266,0.0,0.34936539746158984,0.23647294589178355,0.5306167891338232
3h,Nj=7,0.29792501768450835,0.3039176889592402,0.021369212504946576,0.3838543727740404,0.29085872576177285,0.44611528822055135
3h,Nj>=8,0.525583588776232,0.2095109914759982,0.042171377299237325,0.3858232391206819,0.3624943921040826,0.36623298938238374
3h,Total,1.0,0.27375618957792974,0.028531006838009902,0.37880216929969346,0.3189106342843669,0.41904425056983413
