Label,Event type,Event Fraction,3h,2h,1h,0h,Higgs
3h,Nj=6,0.18251773476012986,0.45652173913043476,0.0,0.35375494071146246,0.18972332015810275,0.5744400527009222
3h,Nj=7,0.2943369003246363,0.3492647058823529,0.02369281045751634,0.37826797385620914,0.24877450980392157,0.4911492374727669
3h,Nj>=8,0.5231453649152339,0.22017926913353253,0.056538726729487475,0.3858883015398759,0.3373937025971041,0.3865011874664828
3h,Total,1.0,0.30131056871468076,0.0365516412167849,0.3777804496813755,0.2843573403871588,0.4516051460863292
