Label,Event type,Event Fraction,3h,2h,1h,0h,Higgs
3h,Nj=6,0.17746913580246915,0.3712374581939799,0.0,0.391304347826087,0.23745819397993312,0.5016722408026756
3h,Nj=7,0.3004510921177588,0.3113393915448439,0.01935993678387989,0.3958909521928092,0.273409719478467,0.45620966679836694
3h,Nj>=8,0.5220797720797721,0.19190541155070487,0.04411095952705776,0.39631650750341063,0.36766712141882674,0.3534182204032136
3h,Total,1.0,0.25961538461538464,0.028846153846153848,0.3952991452991453,0.3162393162393162,0.41061253561253563
